iter	Passed	Remaining
0	1	140
1	2	130
2	4	130
3	5	124
4	6	122
5	7	121
6	9	122
7	10	122
8	12	121
9	13	120
10	14	119
11	16	117
12	17	115
13	18	116
14	20	116
15	21	115
16	23	114
17	25	113
18	26	113
19	27	111
20	29	110
21	30	109
22	32	107
23	33	105
24	34	103
25	36	102
26	37	100
27	38	99
28	40	98
29	41	97
30	43	96
31	44	95
32	46	94
33	47	92
34	49	92
35	51	90
36	52	89
37	54	88
38	55	87
39	57	86
40	58	84
41	59	82
42	61	81
43	62	79
44	64	78
45	65	77
46	67	76
47	69	74
48	70	73
49	71	71
50	73	70
51	74	68
52	76	67
53	77	66
54	78	64
55	80	62
56	81	61
57	83	60
58	84	58
59	86	57
60	87	56
61	89	54
62	90	53
63	92	51
64	94	50
65	95	49
66	97	47
67	98	46
68	100	45
69	101	43
70	103	42
71	104	40
72	106	39
73	107	37
74	109	36
75	110	35
76	112	33
77	114	32
78	115	30
79	117	29
80	118	27
81	120	26
82	121	24
83	123	23
84	124	21
85	125	20
86	127	19
87	128	17
88	130	16
89	132	14
90	133	13
91	134	11
92	136	10
93	137	8
94	138	7
95	140	5
96	141	4
97	143	2
98	144	1
99	145	0
